,Año,Campeón,Subcampeón,Resultado,Sede
0,2023,Manchester City,Fluminense,4-0,Arabia Saudí
1,2022,Real Madrid,Al-Hilal,5-3,Marruecos
2,2021,Chelsea,Palmeiras,2-1,Emiratos Árabes
3,2020,Bayern,Tigres,1-0,Catar
4,2019,Liverpool,Flamengo,1-0,Catar
5,2018,Real Madrid,Al Ain,4-1,Emiratos Árabes Unidos
6,2017,Real Madrid,Gremio,1-0,Emiratos Árabes Unidos
7,2016,Real Madrid,Kashima Antlers,4-2,Japón
8,2015,Barcelona,River Plate,3-0,Japón
9,2014,Real Madrid,San Lorenzo,2-0,Marruecos
10,2013,Bayern,Raja Casablanca,2-0,Marruecos
11,2012,Corinthians,Chelsea,1-0,Japón
12,2011,Barcelona,Santos,4-0,Japón
13,2010,Inter,TP Mazembe,3-0,EAU
14,2009,Barcelona,Estudiantes LP,2-1,EAU
15,2008,Manchester Utd.,Liga de Quito,1-0,Japón
16,2007,Milan,Boca Juniors,4-2,Japón
17,2006,Internacional P. A.,Barcelona,1-0,Japón
18,2005,São Paulo,Liverpool,1-0,Japón
19,2000,Corinthians,Vasco da Gama,0-0 (4-3 pen.),Brasil
20,2004,Oporto,Once Caldas,0-0 (8-7 pen.),Yokohama
21,2003,Boca Juniors,Milán,1-1 (3-1 pen.),Yokohama
22,2002,Real Madrid,Olimpia,2-0,Yokohama
23,2001,Bayern,Boca Juniors,1-0,Tokio
24,2000,Boca Juniors,Real Madrid,2-1,Tokio
25,1999,Manchester Utd.,Palmeiras,1-0,Tokio
26,1998,Real Madrid,Vasco da Gama,2-1,Tokio
27,1997,Borussia Dortmund,Cruzeiro,2-0,Tokio
28,1996,Juventus,River Plate,1-0,Tokio
29,1995,Ajax,Grêmio,0-0 (4-3 pen.),Tokio
30,1994,Vélez Sarsfield,Milán,2-0,Tokio
31,1993,São Paulo,Milán,3-2,Tokio
32,1992,São Paulo,Barcelona,2-1,Tokio
33,1991,Estrella Roja,Colo Colo,3-0,Tokio
34,1990,Milán,Olimpia,3-0,Tokio
35,1989,Milán,At. Nacional,1-0,Tokio
36,1988,Nacional,PSV,2-3 (7-6 pen.),Tokio
37,1987,Oporto,Peñarol,2-1,Tokio
38,1986,River Plate,Steaua de Bucarest,1-0,Tokio
39,1985,Juventus,Argentinos Jrs.,2-2 (4-2 pen.),Tokio
40,1984,Independiente,Liverpool,1-0,Tokio
41,1983,Grêmio,Hamburgo,2-1,Tokio
42,1982,Peñarol,Aston Villa,2-0,Tokio
43,1981,Flamengo,Liverpool,3-0,Tokio
44,1980,Nacional,Nottingham Forest,1-0,Tokio
45,1979,Olimpia,Malmö,1-0 / 2-1,Malmö / Asunción
46,1978,No se disputó,No se disputó,No se disputó,No se disputó
47,1977,Boca Juniors,B. Mönchengladbach,2-2 / 3-0,Buenos Aires / Karlsruhe
48,1976,Bayern Múnich,Cruzeiro,2-0 / 0-0,Múnich / Belo Horizonte
49,1975,No se disputó,No se disputó,No se disputó,No se disputó
50,1974,Atlético de Madrid,Independiente,0-1 / 2-0,Avellaneda / Madrid
51,1973,Independiente,Juventus,1-0,Roma
52,1972,Ajax,Independiente,1-1 / 3-0,Avellaneda / Ámsterdam
53,1971,Nacional,Panathinaikos,1-1 / 2-1,El Pireo / Montevideo
54,1970,Feyenoord,Estudiantes,2-2 / 1-0,Buenos Aires / Rotterdam
55,1969,Milan,Estudiantes,3-0 / 1-2,Milán / Buenos Aires
56,1968,Estudiantes,Manchester Utd.,1-0 / 1-1,Buenos Aires / Manchester
57,1967,Racing,Celtic,0-1 / 2-1 / 1-0,Glasgow / Avellaneda / Montevideo
58,1966,Peñarol,Real Madrid,2-0 / 2-0,Montevideo / Madrid
59,1965,Inter,Independiente,3-0 / 0-0,Milán / Avellaneda
60,1964,Inter,Independiente,0-1 / 2-0 / 1-0,Avellaneda / Milán / Madrid
61,1963,Santos,Milán,2-4 / 4-2 / 1-0,Milán / Río de Janeiro
62,1962,Santos,Benfica,3-2 / 5-2,Río de Janeiro / Lisboa
63,1961,Peñarol,Benfica,0-1 / 5-0 / 2-1,Lisboa / Montevideo
64,1960,Real Madrid,Peñarol,0-0 / 5-1,Montevideo / Madrid
