,Ciudad,Latitud,Longitud
0,Guayaquil,-2.19616,-79.88621
1,Quito,-0.22985,-78.52495
2,Cuenca,-2.90055,-79.00453
3,Machala,-3.25861,-79.96053
4,Manta,-0.96212,-80.71271
5,Portoviejo,-1.05458,-80.45445
6,Esmeraldas,0.9592,-79.65397
7,Ambato,-1.24908,-78.61675
8,Milagro,-2.13404,-79.59415
9,Ibarra,0.35171,-78.12233
10,Tulcán,0.81187,-77.71727
11,Riobamba,-1.67098,-78.64712
12,Quevedo,-1.02863,-79.46352
13,Babahoyo,-1.80217,-79.53443
14,Santo Domingo de los Colorados,-0.25305,-79.17536
15,Salinas,-2.21452,-80.95151
16,Santa Elena,-2.22622,-80.85873
17,Eloy Alfaro,-2.17579,-79.85519
18,Santa Rosa,-3.44882,-79.95952
19,Latacunga,-0.93521,-78.61554
