,Column1,Nombre Común,Nombre Inglés,Nombre Portugués,Nombre Científico,Registros
0,1,Tinamú Tao,Grey Tinamou,Azulona,Tinamus tao,1
1,2,Tinamú Olivaceo,Great Tinamou,Inhambu-de-cabeça-vermelha,Tinamus major,1
2,3,Tinamú Sombrío,Cinereous Tinamou,Inhambu-preto,Crypturellus cinereus,1
3,4,Tinamú Chico,Little Tinamou,Tururim,Crypturellus soui,6
4,5,Tataupá Listado,Undulated Tinamou,Jaó,Crypturellus undulatus,3
5,6,Tinamú Cejudo,Pale-browed Tinamou,No Existe Registro,Crypturellus transfasciatus,5
6,7,Pava Falcialar,Sickle-winged Guan,No Existe Registro,Chamaepetes goudotii,5
7,8,Pava Andina,Andean Guan,No Existe Registro,Penelope montagnii,4
8,9,Pava Amazónica,Spix´s Guan,Jacu-de-spix,Penelope jacquacu,4
9,10,Pava Crestada,Crested Guan,No Existe Registro,Penelope purpurascens,1
10,11,Cuyuya,Blue-throated Piping-guan,No Existe Registro,Pipile cumanensis,2
11,12,Pava Aburria,Wattled Guan,No Existe Registro,Aburria aburri,1
12,13,Chachalaca Cabecirrufa,Rufous-headed Chachalaca,No Existe Registro,Ortalis erythroptera,6
13,14,Charata Manchada,Speckled Chachalaca,Aracuã-pintado,Ortalis guttata,8
14,15,Paují Nocturno,Nocturnal Curassow,Urumutum,Nothocrax urumutum,1
15,16,Pavón Carunculado,Wattled Curassow,Mutum-de-fava,Crax globulosa,1
16,17,Corcovado Dorsioscuro,Dark-backed Wood-quail,No Existe Registro,Odontophorus melanonotus,2
17,18,Aruco,Horned Screamer,Anhuma,Anhima cornuta,2
18,19,Sirirí Vientre Negro,Black-bellied Whistling-duck,Marreca-cabocla,Dendrocygna autumnalis,11
19,20,Sirirí Colorado,Fulvous Whistling-duck,Marreca-caneleira,Dendrocygna bicolor,7
20,21,Pato Fierro,Masked Duck,Marreca-de-bico-roxo,Nomonyx dominicus,1
21,22,Pato Zambullidor Grande,Andean Duck,No Existe Registro,Oxyura ferruginea,3
22,23,Pato Real,Muscovy Duck,Pato-do-mato,Cairina moschata,3
23,24,Pato de los Torrentes,Torrent Duck,No Existe Registro,Merganetta armata,1
24,25,Pato Media Luna,Blue-winged Teal,Marreca-de-asa-azul,Spatula discors,9
25,26,Pato Gargantilla,White-cheeked Pintail,Marreca-toicinho,Anas bahamensis,23
26,27,Pato Maicero,Yellow-billed Pintail,Marreca-parda,Anas georgica,3
27,28,No Existe Registro,Andean Teal,No Existe Registro,Anas andium,7
28,29,Macá Gris,Least Grebe,Mergulhão-pequeno,Tachybaptus dominicus,3
29,30,Macá Pico Grueso,Pied-billed Grebe,Mergulhão-caçador,Podilymbus podiceps,10
30,31,Macá Grande,Great Grebe,Mergulhao-grande o chorona,Podiceps major,1
31,32,Flamenco del Caribe,American Flamingo,Flamingo,Phoenicopterus ruber,15
32,33,Flamenco Austral,Chilean Flamingo,Flamingo-chileno,Phoenicopterus chilensis,7
33,34,Ave del Trópico de Pico Rojo,Red-billed Tropicbird,Rabo-de-palha-de-bico-vermelho,Phaethon aethereus,18
34,35,Garza del Sol,Sunbittern,Pavãozinho-do-pará,Eurypyga helias,3
35,36,Paloma Doméstica,Rock Dove,Pombo-doméstico,Columba livia,15
36,37,Paloma Trocal,Scaled Pigeon,Pomba-trocal,Patagioenas speciosa,5
37,38,Paloma Nuca Blanca,Southern Band-tailed Pigeon,Pomba-de-coleira-branca,Patagioenas albilinea,14
38,39,Paloma Colorada,Pale-vented Pigeon,Pomba-galega,Patagioenas cayennensis,18
39,40,Paloma Plomiza,Plumbeous Pigeon,Pomba-amargosa,Patagioenas plumbea,8
40,41,Paloma Vinosa,Ruddy Pigeon,Pomba-botafogo,Patagioenas subvinacea,11
41,42,Paloma Montera Castaña,Ruddy Quail-dove,Pariri,Geotrygon montana,1
42,43,Yerutí Común,White-tipped Dove,Juriti-pupu,Leptotila verreauxi,22
43,44,Yerutí Colorada,Grey-fronted Dove,Juriti-gemedeira,Leptotila rufaxilla,3
44,45,Paloma Montaraz Pálida,Pallid Dove,No Existe Registro,Leptotila pallida,2
45,46,Paloma Montera Grande,White-throated Quail-dove,No Existe Registro,Zentrygon frenata,1
46,47,Torcaza Ala Blanca,West Peruvian Dove,No Existe Registro,Zenaida meloda,5
47,48,Paloma de Galápagos,Galapagos Dove,No Existe Registro,Zenaida galapagoensis,20
48,49,Torcaza Común,Eared Dove,Avoante,Zenaida auriculata,21
49,50,Torcacita Enana,Plain-breasted Ground-dove,Rolinha-de-asa-canela,Columbina minuta,1
50,51,Columbina Ecuatoriana,Ecuadorian Ground-dove,No Existe Registro,Columbina buckleyi,24
51,52,Torcacita Colorada,Ruddy Ground-dove,Rolinha-roxa,Columbina talpacoti,5
52,53,Tortolita Peruana,Croaking Ground-dove,No Existe Registro,Columbina cruziana,15
53,54,Palomita Azulada,Blue Ground-dove,Pararu-azul,Claravis pretiosa,3
54,55,Palomita Cordillerana,Black-winged Ground-dove,No Existe Registro,Metriopelia melanoptera,1
55,56,Guácharo,Oilbird,Guácharo,Steatornis caripensis,4
56,57,No Existe Registro,No Existe Registro,No Existe Registro,Nyctibius sp.,1
57,58,Nictibio Grande,Great Potoo,Mãe-da-lua-gigante,Nyctibius grandis,2
58,59,Urutaú Común,Common Potoo,Urutau,Nyctibius griseus,9
59,60,Añapero Chico,Lesser Nighthawk,Bacurau-de-asa-fina,Chordeiles acutipennis,2
60,61,Añapero Ventrirrufo,Rufous-bellied Nighthawk,No Existe Registro,Lurocalis rufiventris,1
61,62,Chotacabras Negruzco,Blackish Nightjar,No Existe Registro,Nyctipolus nigrescens,1
62,63,Atajacaminos Ñañarca,Greater Band-winged Nightjar,No Existe Registro,Systellura longirostris,3
63,64,Curiango,Pauraque,Bacurau,Nyctidromus albicollis,9
64,65,Atajacaminos Lira,Lyre-tailed Nightjar,No Existe Registro,Uropsalis lyra,5
65,66,Vencejo Cuellirrojo,Chestnut-collared Swift,No Existe Registro,Streptoprocne rutila,4
66,67,Vencejo de Collar,White-collared Swift,Taperuçu-de-coleira-branca,Streptoprocne zonaris,10
67,68,Vencejo Chico,Grey-rumped Swift,Andorinhão-de-sobre-cinzento,Chaetura cinereiventris,3
68,69,Vencejo Rabón,Short-tailed Swift,Andorinhão-de-rabo-curto,Chaetura brachyura,4
69,70,Vencejo de las Palmeras,Fork-tailed Palm-swift,Andorinhão-do-buriti,Tachornis squamata,1
70,71,Vencejo Tijereta,Lesser Swallow-tailed Swift,Andorinhão-estofador,Panyptila cayennensis,2
71,72,Topacio Candela de Cola Morada,Fiery Topaz,Topázio-de-fogo,Topaza pyra,1
72,73,Colibrí Nuca Blanca,White-necked Jacobin,Beija-flor-azul-de-rabo-branco,Florisuga mellivora,20
73,74,Ermitaño Canelo,Rufous-breasted Hermit,Balança-rabo-de-bico-torto,Glaucis hirsutus,1
74,75,Ermitaño de Yaruqui,White-whiskered Hermit,No Existe Registro,Phaethornis yaruqui,11
75,76,Ermitaño Verde,Green Hermit,No Existe Registro,Phaethornis guy,5
76,77,Ermitaño Ventrihabano,Tawny-bellied Hermit,No Existe Registro,Phaethornis syrmatophorus,7
77,78,Ermitaño Picogrande,Great-billed Hermit,Besourão-de-bico-grande,Phaethornis malaris,1
78,79,Ermitaño Barbigrís,Grey-chinned Hermit,No Existe Registro,Phaethornis griseogularis,1
79,80,Colibrí Picolanza Mayor,Green-fronted Lancebill,No Existe Registro,Doryfera ludovicae,3
