;Órden;Familia;Nombre Común;Nombre Inglés;Nombre Portugués;Nombre Científico;Registros
1;Struthioniformes;Tinamidae;Tinamú Tao;Grey Tinamou;Azulona;Tinamus tao;1
2;;;Tinamú Olivaceo;Great Tinamou;Inhambu-de-cabeça-vermelha;Tinamus major;1
3;;;Tinamú Sombrío;Cinereous Tinamou;Inhambu-preto;Crypturellus cinereus;1
4;;;Tinamú Chico;Little Tinamou;Tururim;Crypturellus soui;6
5;;;Tataupá Listado;Undulated Tinamou;Jaó;Crypturellus undulatus;3
6;;;Tinamú Cejudo;Pale-browed Tinamou;;Crypturellus transfasciatus;5
7;Galliformes;Cracidae;Pava Falcialar;Sickle-winged Guan;;Chamaepetes goudotii;5
8;;;Pava Andina;Andean Guan;;Penelope montagnii;4
9;;;Pava Amazónica;Spix´s Guan;Jacu-de-spix;Penelope jacquacu;4
10;;;Pava Crestada;Crested Guan;;Penelope purpurascens;1
11;;;Cuyuya;Blue-throated Piping-guan;;Pipile cumanensis;2
12;;;Pava Aburria;Wattled Guan;;Aburria aburri;1
13;;;Chachalaca Cabecirrufa;Rufous-headed Chachalaca;;Ortalis erythroptera;6
14;;;Charata Manchada;Speckled Chachalaca;Aracuã-pintado;Ortalis guttata;8
15;;;Paují Nocturno;Nocturnal Curassow;Urumutum;Nothocrax urumutum;1
16;;;Pavón Carunculado;Wattled Curassow;Mutum-de-fava;Crax globulosa;1
17;;Odontophoridae;Corcovado Dorsioscuro;Dark-backed Wood-quail;;Odontophorus melanonotus;2
18;Anseriformes;Anhimidae;Aruco;Horned Screamer;Anhuma;Anhima cornuta;2
19;;Anatidae;Sirirí Vientre Negro;Black-bellied Whistling-duck;Marreca-cabocla;Dendrocygna autumnalis;11
20;;;Sirirí Colorado;Fulvous Whistling-duck;Marreca-caneleira;Dendrocygna bicolor;7
21;;;Pato Fierro;Masked Duck;Marreca-de-bico-roxo;Nomonyx dominicus;1
22;;;Pato Zambullidor Grande;Andean Duck;;Oxyura ferruginea;3
23;;;Pato Real;Muscovy Duck;Pato-do-mato;Cairina moschata;3
24;;;Pato de los Torrentes;Torrent Duck;;Merganetta armata;1
25;;;Pato Media Luna;Blue-winged Teal;Marreca-de-asa-azul;Spatula discors;9
26;;;Pato Gargantilla;White-cheeked Pintail;Marreca-toicinho;Anas bahamensis;23
27;;;Pato Maicero;Yellow-billed Pintail;Marreca-parda;Anas georgica;3
28;;;;Andean Teal;;Anas andium;7
29;Podicipediformes;Podicipedidae;Macá Gris;Least Grebe;Mergulhão-pequeno;Tachybaptus dominicus;3
30;;;Macá Pico Grueso;Pied-billed Grebe;Mergulhão-caçador;Podilymbus podiceps;10
31;;;Macá Grande;Great Grebe;Mergulhao-grande o chorona;Podiceps major;1
32;Phoenicopteriformes;Phoenicopteridae;Flamenco del Caribe;American Flamingo;Flamingo;Phoenicopterus ruber;15
33;;;Flamenco Austral;Chilean Flamingo;Flamingo-chileno;Phoenicopterus chilensis;7
34;Phaethontiformes;Phaethontidae;Ave del Trópico de Pico Rojo;Red-billed Tropicbird;Rabo-de-palha-de-bico-vermelho;Phaethon aethereus;18
35;Eurypygiformes;Eurypygidae;Garza del Sol;Sunbittern;Pavãozinho-do-pará;Eurypyga helias;3
