A�o,Sede,Campe�n,Resultado,Subcampe�n,Tercer lugar,Resultado,Cuarto lugar
1950 Detalles,Argentina,Argentina (1),Sistema de liga,Estados Unidos,Chile,Sistema de liga,Brasil
1954 Detalles,Brasil,Estados Unidos,Sistema de liga,Brasil,Filipinas,Sistema de liga,Francia
1959 Detalles,Chile,Brasil,Sistema de liga,Estados Unidos,Chile,Sistema de liga,China Taipéi
1963 Detalles,Brasil,Brasil (2),Sistema de liga,Yugoslavia,Unión Soviética,Sistema de liga,Estados Unidos
1967 Detalles,Uruguay,Unión Soviética,Sistema de liga,Yugoslavia,Brasil,Sistema de liga,Estados Unidos
1970 Detalles,Yugoslavia,Yugoslavia,Sistema de liga,Brasil,Unión Soviética,Sistema de liga,Italia
1974 Detalles,Puerto Rico,Unión Soviética,Sistema de liga,Yugoslavia,Estados Unidos,Sistema de liga,Cuba
1978 Detalles,Filipinas,Yugoslavia,82 - 81,Unión Soviética,Brasil,86 - 85,Italia
1982 Detalles,Colombia,Unión Soviética (3),95 - 94,Estados Unidos,Yugoslavia,119 - 117,España
1986 Detalles,España,Estados Unidos,87 - 85,Unión Soviética,Yugoslavia,117 - 91,Brasil
1990 Detalles,Argentina,Yugoslavia (3),92 - 75,Unión Soviética,Estados Unidos,107 - 105,Puerto Rico
1994 Detalles,Canadá,Estados Unidos,137 - 91,Rusia,Croacia,78 - 60,Grecia
1998 Detalles,Grecia,RF Yugoslavia,64 - 62,Rusia,Estados Unidos,84 - 61,Grecia
2002 Detalles,Estados Unidos,RF Yugoslavia (2),84 - 77,Argentina,Alemania,117 - 94,Nueva Zelanda
2006 Detalles,Japón,España,70 - 47,Grecia,Estados Unidos,96 - 81,Argentina
2010 Detalles,Turquía,Estados Unidos,81 - 64,Turquía,Lituania,99 - 88,Serbia
2014 Detalles,España,Estados Unidos (5),129 - 92,Serbia,Francia,95 - 93,Lituania
2019 Detalles,China,España (2),95 - 75,Argentina,Francia,67 - 59,Australia
2023 Detalles,"Filipinas, Japón e Indonesia",Alemania,83 - 77,Serbia,Canadá,127 - 118,Estados Unidos
2027 Detalles,Catar,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse
