Header;Temporada;Campeón;Resultado;Subcampeón;Sede Final
Copa Intercontinental;1960;Real Madrid C. F.;0-0, 5-1;C. A. Peñarol;Estadio Centenario, Montevideo / Estadio Santiago Bernabéu, Madrid
Copa Intercontinental;1961;C. A. Peñarol;0-1, 5-0, 2-1;S. L. Benfica;Estádio da Luz, Lisboa / Estadio Centenario, Montevideo / Estadio Centenario, Montevideo
Copa Intercontinental;1962;Santos F. C.;3-2, 5-2;S. L. Benfica;Estádio Maracaná, Río de Janeiro / Estádio da Luz, Lisboa
Copa Intercontinental;1963;Santos F. C.;2-4, 4-2, 1-0;A. C. Milan;Stadio San Siro, Milán / Estadio Maracaná, Río de Janeiro / Estadio Maracaná, Río de Janeiro
Copa Intercontinental;1964;F. C. Internazionale;0-1, 2-0, 1-0;C. A. Independiente;Estadio Libertadores de América, Avellaneda / Stadio San Siro, Milán / Estadio Santiago Bernabéu, Madrid
Copa Intercontinental;1965;F. C. Internazionale;3-0, 0-0;C. A. Independiente;Stadio San Siro, Milán / Estadio Libertadores de América, Avellaneda
Copa Intercontinental;1966;C. A. Peñarol;2-0, 2-0;Real Madrid C. F.;Estadio Centenario, Montevideo / Estadio Santiago Bernabéu, Madrid
Copa Intercontinental;1967;Racing Club;0-1, 2-1, 1-0;Celtic F. C.;Hampden Park, Glasgow / Juan Domingo Perón, Avellaneda / Estadio Centenario, Montevideo
Copa Intercontinental;1968;C. Estudiantes de La Plata;1-0, 1-1;Manchester United F. C.;Estadio Alberto J. Armando, Buenos Aires / Old Trafford, Mánchester
Copa Intercontinental;1969;A. C. Milan;3-0, 1-2;C. Estudiantes de La Plata;Stadio San Siro, Milán / Estadio Alberto J. Armando, Buenos Aires
Copa Intercontinental;1970;Feyenoord Rotterdam;2-2, 1-0;C. Estudiantes de La Plata;Estadio Alberto J. Armando, Buenos Aires / De Kuip, Róterdam
Copa Intercontinental;1971;C. Nacional de F.;1-1, 2-1;Panathinaïkós A. O.​;Estadio Karaiskákis, El Pireo / Estadio Centenario, Montevideo
Copa Intercontinental;1972;A. F. C. Ajax;1-1, 3-0;C. A. Independiente;Estadio Libertadores de América, Avellaneda / Estadio Olímpico, Ámsterdam
Copa Intercontinental;1973;C. A. Independiente;1-0;Juventus F. C.​;Estadio Olímpico, Roma
Copa Intercontinental;1974;C. Atlético de Madrid[22]​;0-1, 2-0;C. A. Independiente;Estadio Libertadores de América, Avellaneda / Estadio Vicente Calderón, Madrid
Copa Intercontinental;1975;No disputada​;No disputada​;No disputada​;
Copa Intercontinental;1976;F. C. Bayern Múnich;2-0, 0-0;Cruzeiro E. C.;Olympiastadion, Múnich / Estádio Mineirão, Belo Horizonte
Copa Intercontinental;1977;C. A. Boca Juniors;2-2, 3-0;Borussia Mönchengladbach​;Estadio Alberto J. Armando, Buenos Aires / Wildparkstadion, Karlsruhe
Copa Intercontinental;1978;No disputada​;No disputada​;No disputada​;
