TIPO;FECHA;HORA;INSTALACIÓN;ENTIDAD;ACTIVIDAD
Eventos Deportivos Especiales;2023-12-02;15:00;PISCINA COMPETICION CIUDAD DEPORTIVA;CLUB NATACION ARGANDA;II Jornada Escolar de Navidad Club de Natación Arganda
Eventos Deportivos Especiales;2023-12-09;9:00;PABELLON C.D. PRINCIPE FELIPE;-- --, CLUB JUDO ARGANDA;Judolandia
Eventos Deportivos Especiales;2023-12-09;9:00;CAMPO DE FUTBOL VIRGEN DEL CARMEN;.. .., U.D. LA POVEDA;VII Torneo de Fútbol Cadete UD La Poveda
Eventos Deportivos Especiales;2023-12-10;9:00;CAMPO DE FUTBOL VIRGEN DEL CARMEN;.. .., U.D. LA POVEDA;VII Torneo Cadete de Fútbol U.D. La Poveda
Eventos Deportivos Especiales;2023-12-16;9:00;PABELLON C.D. PRINCIPE FELIPE;-- --, CLUB IVAN LEAL;Exámen cinturones negro y de grado FMK
Eventos Deportivos Especiales;2023-12-16;11:30;CAMPO FUTBOL ESTADIO MUNICIPAL DEPORTES; , ASOCIACION VETERANOS ARGANDA;TROFEO DE NAVIDAD VETERANOS ARGANDA
Eventos Deportivos Especiales;2023-12-16;15:00;PABELLON C.D. PRINCIPE FELIPE;-- --, CLUB IVAN LEAL;Open Senior Comunidad de Madrid Karate
Eventos Deportivos Especiales;2023-12-16;18:00;PLAZA DE LA CONSTITUCIÓN;CLUB ATLETISMO ARGANDA;Legua de Navidad Atletismo Arganda
Eventos Deportivos Especiales;2023-12-17;9:00;PABELLON C.D. PRINCIPE FELIPE;CLUB KARATE IVAN LEAL;Trofeo Navidad Katas FMK
Eventos Deportivos Especiales;2023-12-18;16:15;PISCINA COMPETICION CD - CALLE 2;-- --, CONCEJALIA DE DEPORTES - AYTO. ARGANDA;ACTIVIDADES ACUÁTICAS ESPECIAL NAVIDAD
Eventos Deportivos Especiales;2023-12-18;19:00;PABELLON C.D. PRINCIPE FELIPE;CLUB KARATE IVAN LEAL;Exhibición de Navidad y Cambio de Grado Karate
Eventos Deportivos Especiales;2023-12-19;9:00;PABELLON C.D. PRINCIPE FELIPE;-- --, CONCEJALIA DE DEPORTES - AYTO. ARGANDA;ACTIVIDADES DEPORTIVAS NAVIDAD
Eventos Deportivos Especiales;2023-12-20;18:00;PABELLON C.D. PRINCIPE FELIPE;-- --, CLUB GIMNASIA RITMICA ARGANDA;FESTIVAL NAVIDAD 
Eventos Deportivos Especiales;2023-12-21;19:00;CENTRO MONTSERRAT CABALLE;-- --, CONCEJALIA DE DEPORTES - AYTO. ARGANDA;GALA DEL DEPORTE XXIV
Eventos Deportivos Especiales;2023-12-22;9:00;PABELLON ALBERTO HERREROS;CONCEJALIA JUVENTUD E INFANCIA - ARGANDA;FIESTA DE NAVIDAD DEL CRIA.
Eventos Deportivos Especiales;2023-12-29;9:00;PISTA DE ATLETISMO. ESTADIO MUNICIPAL DE DEPORTES.;-- --, CONCEJALIA DE DEPORTES - AYTO. ARGANDA;CARRERA SAN SILVESTRE (CENTRO ANTONIO MINGOTE)
Eventos Deportivos Especiales;2023-12-30;10:00;PISTA TENIS CD - 1;-- --, C.D.E. TENIS Y PADEL ARGANDA;OPEN ARGANDA DE NAVIDAD
