codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;AUTOMÁTICO;APREHENDIDO;ARTESANAL;1/1/2024;4:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D03;09D03C05;09D03C05S01;ZONA 8;9 DE OCTUBRE;VENEZUELA;VENEZUELA 1;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;OTRO;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;1/1/2024;2:50;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D06;09D06C04;09D06C04S05;ZONA 8;FLORIDA;JUAN MONTALVO;JUAN MONTALVO 5;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;.38;AUTOMÁTICO;DECOMISO;IMPORTADA;1/1/2024;2:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 7;07D01;07D01C09;07D01C09S01;ZONA 7;PASAJE;LAS PRADERAS;LAS PRADERAS 1;7;709;70950;EL ORO;PASAJE;PASAJE;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;1/1/2024;3:30;VIVIENDA/ALOJAMIENTO;CASA/VILLA;ZONA 7;07D04;07D04C04;07D04C04S01;ZONA 7;PIÑAS;SAN ROQUE;SAN ROQUE 1;7;710;71050;EL ORO;PIÑAS;PIÑAS;DELITOS CONTRA LA INTEGRIDAD PERSONAL
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;1/1/2024;8:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;24D02;24D02C06;24D02C06S02;ZONA 5;LIBERTAD SALINAS;SANTA ROSA;SANTA ROSA 2;24;2403;240350;SANTA ELENA;SALINAS;SALINAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;AUTOMÁTICO;RETENIDO;IMPORTADA;1/1/2024;8:45;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;23D02;23D02C03;23D02C03S02;ZONA 4;SANTO DOMINGO OESTE;BOMBOLI;BOMBOLI 2;23;2301;230150;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;ABANDONADO;IMPORTADA;1/1/2024;10:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D07;09D07C05;09D07C05S02;ZONA 8;PASCUALES;ORQUIDEAS;ORQUIDEAS 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.15.002;ARMAS DE FOGUEO;REVOLVER;1;9 mm;AUTOMÁTICO;ABANDONADO;IMPORTADA;1/1/2024;11:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 9;17D01;17D01C03;17D01C03S01;ZONA 9;NANEGAL;NANEGAL;NANEGAL 1;17;1701;170168;PICHINCHA;QUITO;NANEGAL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;1/1/2024;11:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 7;07D02;07D02C12;07D02C12S01;ZONA 7;MACHALA;EL CAMBIO;EL CAMBIO 1;7;701;70150;EL ORO;MACHALA;MACHALA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;TIRO A TIRO;APREHENDIDO;IMPORTADA;1/1/2024;9:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
