Constituyente,Indirecto,1830-1834,Juan José Flores,José Joaquín de Olmedo,Conservador
Constituyente,Indirecto,1835-1839,Vicente Rocafuerte,Juan Bernardo León,Liberal
Ordinario,Indirecto,1839-1843,Juan José Flores,Francisco Aguirre Mendoza,Conservador
Constituyente,Indirecto,1843-1851,Juan José Flores,Francisco de Marcos,Conservador
Constituyente,Indirecto,1845-1849,Vicente Ramón Roca,Pablo Merino,Liberal
Constituyente,Indirecto,1852-1856,José María Urbina,Pacífico Chiriboga,Liberal
Constituyente,Indirecto,1861-1865,Gabriel García Moreno,Mariano Cueva,Conservador
Ordinario,Censitario,1865-1869,Jerónimo Carrión,-,Liberal Conservador
Extraordinario,Censitario,1868-1869,Javier Espinosa,-,Liberal Conservador
Constituyente,Indirecto,Interino,Gabriel García Moreno,Manuel de Ascázubi,Conservador
Constituyente,Indirecto,Interino,José María Plácido Caamaño,Rafael Pérez Pareja,PCE
Constituyente,Indirecto,1884-1888,José María Plácido Caamaño,Agustín Guerrero Lizarzaburu,PCE
Ordinario,Censitario,1888-1892,Antonio Flores Jijón,-,PPE
Ordinario,Censitario,1892-1896,Luis Cordero Crespo,-,PPE
Constituyente,Indirecto,1897-1901,Eloy Alfaro Delgado,Manuel Benigno Cueva,PLE
Constituyente,Indirecto,1946-1948,José María Velasco Ibarra,Mariano Suárez Veintimilla,Independiente
Ordinario,Directo,1948-1952,Galo Plaza,Manuel Sotomayor y Luna,Independiente
Ordinario,Directo,1952-1956,José María Velasco Ibarra,Alfredo Chiriboga,FNV
Ordinario,Directo,1956-1960,Camilo Ponce,Francisco Illingworth,MSC
Ordinario,Directo,1960-1964,José María Velasco Ibarra,Carlos Julio Arosemena Monroy,FNV
Constituyente,Indirecto,Interino,Otto Arosemena,-,CID
Ordinario,Directo,1968-1972,José María Velasco Ibarra,Jorge Zavala Baquerizo,FNV
Ordinario,Directo,1979-1984,Jaime Roldós,Osvaldo Hurtado,CFP
Ordinario,Directo,1984-1988,León Febres-Cordero,Blasco Peñaherrera,PSC
Ordinario,Directo,1988-1992,Rodrigo Borja,Luis Parodi Valverde,ID
Ordinario,Directo,1992-1996,Sixto Durán-Ballén,Alberto Dahik,PUR
Ordinario,Directo,1996-2000,Abdalá Bucaram,Rosalía Arteaga,PRE
Extraordinario,Indirecto,Interino,Fabián Alarcón,-,FRA
Ordinario,Directo,1998-2003,Jamil Mahuad,Gustavo Noboa,DP
Ordinario,Directo,2003-2007,Lucio Gutiérrez,Alfredo Palacio,PSP
Ordinario,Directo,2007-2011,Rafael Correa,Lenín Moreno,PAIS
Ordinario,Directo,2009-2013,Rafael Correa,Lenín Moreno,PAIS
Ordinario,Directo,2013-2017,Rafael Correa,Jorge Glas,PAIS
Ordinario,Directo,2017-2021,Lenín Moreno,Jorge Glas,PAIS
Ordinario,Directo,2021-2025,Guillermo Lasso,Alfredo Borrero,CREO
Extraordinario,Directo,2023-2025,Daniel Noboa,Verónica Abad,ADN
