Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Address pending validation,,,14946,,13110,,,,12/01/2021
Andover,No,3236,2314,71.51,2161,66.78,,,12/01/2021
Ansonia,Yes,18654,12039,64.54,11083,59.41,,,12/01/2021
Ashford,No,4255,2886,67.83,2671,62.77,,,12/01/2021
Avon,No,18276,16327,89.34,14479,79.22,,,12/01/2021
Barkhamsted,No,3606,2668,73.99,2458,68.16,,,12/01/2021
Beacon Falls,No,6222,4280,68.79,3979,63.95,,,12/01/2021
Berlin,No,20436,15180,74.28,14152,69.25,,,12/01/2021
Bethany,No,5548,4221,76.08,3840,69.21,,,12/01/2021
Bethel,No,19800,14411,72.78,12865,64.97,,,12/01/2021
Bethlehem,No,3402,2318,68.14,2144,63.02,,,12/01/2021
Bloomfield,No,21211,16679,78.63,15147,71.41,,,12/01/2021
Bolton,No,4884,3672,75.18,3359,68.78,,,12/01/2021
Bozrah,No,2726,1740,63.83,1642,60.23,,,12/01/2021
Branford,No,27900,22210,79.61,20335,72.89,,,12/01/2021
Bridgeport,Yes,144399,92257,63.89,82026,56.81,,,12/01/2021
Bridgewater,No,1635,1336,81.71,1211,74.07,,,12/01/2021
Bristol,Yes,59947,42895,71.55,39248,65.47,,,12/01/2021
Brookfield,No,16973,13280,78.24,11977,70.57,,,12/01/2021
Brooklyn,No,8272,5246,63.42,4753,57.46,,,12/01/2021
Burlington,No,9704,7342,75.66,6685,68.89,,,12/01/2021
Canaan,No,1053,1235,100,1110,100,,,12/01/2021
Canterbury,No,5079,3256,64.11,3020,59.46,,,12/01/2021
Canton,No,10254,8007,78.09,7240,70.61,,,12/01/2021
Chaplin,No,2239,1427,63.73,1330,59.4,,,12/01/2021
Cheshire,No,28937,23661,81.77,21382,73.89,,,12/01/2021
Chester,No,4213,3167,75.17,2933,69.62,,,12/01/2021
Clinton,No,12925,10671,82.56,9716,75.17,,,12/01/2021
Colchester,No,15809,11914,75.36,10946,69.24,,,12/01/2021
Colebrook,No,1400,1070,76.43,970,69.29,,,12/01/2021
Columbia,No,5379,3903,72.56,3597,66.87,,,12/01/2021
Cornwall,No,1362,1202,88.25,1053,77.31,,,12/01/2021
Coventry,No,12407,9056,72.99,8324,67.09,,,12/01/2021
Cromwell,No,13839,11593,83.77,10633,76.83,,,12/01/2021
Danbury,Yes,84694,64678,76.37,56262,66.43,,,12/01/2021
Darien,No,21728,19034,87.6,15872,73.05,,,12/01/2021
Deep River,No,4443,3586,80.71,3299,74.25,,,12/01/2021
Derby,Yes,12339,11182,90.62,9334,75.65,,,12/01/2021
Durham,No,7165,5583,77.92,5153,71.92,,,12/01/2021
East Granby,No,5140,3986,77.55,3631,70.64,,,12/01/2021
East Haddam,No,8997,6405,71.19,5790,64.35,,,12/01/2021
East Hampton,No,12800,9432,73.69,8639,67.49,,,12/01/2021
East Hartford,Yes,49872,36403,72.99,32758,65.68,,,12/01/2021
East Haven,Yes,28569,19239,67.34,17628,61.7,,,12/01/2021
East Lyme,No,18462,15398,83.4,13885,75.21,,,12/01/2021
East Windsor,No,11668,7846,67.24,7138,61.18,,,12/01/2021
Eastford,No,1790,1118,62.46,1045,58.38,,,12/01/2021
Easton,No,7521,5935,78.91,5296,70.42,,,12/01/2021
Ellington,No,16467,11970,72.69,10935,66.41,,,12/01/2021
Enfield,Yes,43659,27812,63.7,25494,58.39,,,12/01/2021
Essex,No,6668,5676,85.12,5150,77.23,,,12/01/2021
Fairfield,No,62045,47944,77.27,42340,68.24,,,12/01/2021
Farmington,No,25497,22258,87.3,20129,78.95,,,12/01/2021
Franklin,No,1920,1338,69.69,1239,64.53,,,12/01/2021
Glastonbury,No,34482,29454,85.42,26392,76.54,,,12/01/2021
Goshen,No,2863,2170,75.79,1960,68.46,,,12/01/2021
Granby,No,11507,8577,74.54,7741,67.27,,,12/01/2021
Greenwich,No,62840,49682,79.06,42413,67.49,,,12/01/2021
Griswold,Yes,11534,7005,60.73,6479,56.17,,,12/01/2021
Groton,Yes,38436,25075,65.24,22719,59.11,,,12/01/2021
Guilford,No,22133,18965,85.69,16957,76.61,,,12/01/2021
Haddam,No,8193,6547,79.91,6088,74.31,,,12/01/2021
Hamden,No,60556,43285,71.48,39550,65.31,,,12/01/2021
Hampton,No,1842,1188,64.5,1101,59.77,,,12/01/2021
Hartford,Yes,122105,71126,58.25,62252,50.98,,,12/01/2021
Hartland,No,2120,1308,61.7,1203,56.75,,,12/01/2021
Harwinton,No,5420,3916,72.25,3643,67.21,,,12/01/2021
Hebron,No,9504,7186,75.61,6581,69.24,,,12/01/2021
Kent,No,2777,2511,90.42,2197,79.11,,,12/01/2021
Killingly,Yes,17336,10286,59.33,9412,54.29,,,12/01/2021
Killingworth,No,6364,4935,77.55,4575,71.89,,,12/01/2021
Lebanon,No,7144,5081,71.12,4715,66,,,12/01/2021
Ledyard,No,14621,10777,73.71,9742,66.63,,,12/01/2021
Lisbon,No,4220,2877,68.18,2671,63.29,,,12/01/2021
Litchfield,No,8094,6301,77.85,5689,70.29,,,12/01/2021
Lyme,No,2316,2123,91.67,1918,82.82,,,12/01/2021
Madison,No,18030,15592,86.48,13903,77.11,,,12/01/2021
Manchester,Yes,57584,41753,72.51,37881,65.78,,,12/01/2021
Mansfield,No,25487,11012,43.21,9941,39,,,12/01/2021
Marlborough,No,6335,4896,77.28,4451,70.26,,,12/01/2021
Meriden,Yes,59395,42348,71.3,38546,64.9,,,12/01/2021
Middlebury,No,7798,6103,78.26,5562,71.33,,,12/01/2021
Middlefield,No,4374,3289,75.19,3044,69.59,,,12/01/2021
Middletown,Yes,46258,35827,77.45,32725,70.74,,,12/01/2021
Milford,Yes,54747,40769,74.47,37600,68.68,,,12/01/2021
Monroe,No,19434,14984,77.1,13598,69.97,,,12/01/2021
Montville,Yes,18508,12468,67.37,11402,61.61,,,12/01/2021
Morris,No,2254,1611,71.47,1463,64.91,,,12/01/2021
Naugatuck,No,31108,21187,68.11,19292,62.02,,,12/01/2021
New Britain,Yes,72495,43352,59.8,39451,54.42,,,12/01/2021
New Canaan,No,20233,18023,89.08,14905,73.67,,,12/01/2021
New Fairfield,No,13878,10137,73.04,8856,63.81,,,12/01/2021
New Hartford,No,6656,4870,73.17,4460,67.01,,,12/01/2021
New Haven,Yes,130250,86983,66.78,77380,59.41,,,12/01/2021
New London,Yes,26858,17695,65.88,15946,59.37,,,12/01/2021
New Milford,No,26805,20820,77.67,18930,70.62,,,12/01/2021
Newington,No,30014,23383,77.91,21733,72.41,,,12/01/2021
Newtown,No,27891,21800,78.16,19643,70.43,,,12/01/2021
Norfolk,No,1630,1173,71.96,1050,64.42,,,12/01/2021
North Branford,No,14146,11209,79.24,10314,72.91,,,12/01/2021
North Canaan,No,3251,1996,61.4,1804,55.49,,,12/01/2021
North Haven,No,23683,20570,86.86,18953,80.03,,,12/01/2021
North Stonington,No,5196,3337,64.22,3100,59.66,,,12/01/2021
Norwalk,Yes,88816,70649,79.55,62625,70.51,,,12/01/2021
Norwich,Yes,38768,25739,66.39,23291,60.08,,,12/01/2021
Old Lyme,No,7306,6224,85.19,5607,76.75,,,12/01/2021
Old Saybrook,No,10061,9112,90.57,8216,81.66,,,12/01/2021
Orange,Yes,13926,11481,82.44,10425,74.86,,,12/01/2021
Oxford,No,13255,9569,72.19,8819,66.53,,,12/01/2021
Plainfield,Yes,15125,8947,59.15,8186,54.12,,,12/01/2021
Plainville,No,17534,12435,70.92,11509,65.64,,,12/01/2021
Plymouth,No,11598,7239,62.42,6745,58.16,,,12/01/2021
Pomfret,No,4203,3013,71.69,2708,64.43,,,12/01/2021
Portland,No,9267,7352,79.34,6676,72.04,,,12/01/2021
Preston,No,4625,3227,69.77,3034,65.6,,,12/01/2021
Prospect,No,9702,6939,71.52,6415,66.12,,,12/01/2021
Putnam,No,9389,5724,60.96,5158,54.94,,,12/01/2021
Redding,No,9116,6934,76.06,6077,66.66,,,12/01/2021
Resident out of state,,,117261,,75775,,,,12/01/2021
Ridgefield,No,24959,20477,82.04,17793,71.29,,,12/01/2021
Rocky Hill,No,20115,16126,80.17,14780,73.48,,,12/01/2021
Roxbury,No,2152,1817,84.43,1609,74.77,,,12/01/2021
Salem,No,4083,3100,75.92,2820,69.07,,,12/01/2021
Salisbury,No,3600,3586,99.61,3176,88.22,,,12/01/2021
Scotland,No,1672,998,59.69,936,55.98,,,12/01/2021
Seymour,No,16437,11666,70.97,10768,65.51,,,12/01/2021
Sharon,No,2689,1907,70.92,1709,63.56,,,12/01/2021
Shelton,No,41129,30833,74.97,28658,69.68,,,12/01/2021
Sherman,No,3630,2506,69.04,2214,60.99,,,12/01/2021
Simsbury,No,25395,20994,82.67,18574,73.14,,,12/01/2021
Somers,No,10784,7013,65.03,6410,59.44,,,12/01/2021
South Windsor,No,26162,21660,82.79,19668,75.18,,,12/01/2021
Southbury,No,19571,15493,79.16,14011,71.59,,,12/01/2021
Southington,No,43834,33574,76.59,31051,70.84,,,12/01/2021
Sprague,No,2859,1764,61.7,1639,57.33,,,12/01/2021
Stafford,No,11893,7070,59.45,6454,54.27,,,12/01/2021
Stamford,Yes,129638,106910,82.47,93370,72.02,,,12/01/2021
Sterling,No,3782,1939,51.27,1780,47.07,,,12/01/2021
Stonington,No,18559,14190,76.46,12950,69.78,,,12/01/2021
Stratford,No,51849,37515,72.35,34511,66.56,,,12/01/2021
Suffield,No,15814,11102,70.2,10081,63.75,,,12/01/2021
Thomaston,No,7535,5294,70.26,4927,65.39,,,12/01/2021
Thompson,No,9379,4796,51.14,4350,46.38,,,12/01/2021
Tolland,No,14618,11356,77.69,10411,71.22,,,12/01/2021
Torrington,Yes,34044,24327,71.46,22399,65.79,,,12/01/2021
Trumbull,No,35673,29479,82.64,26652,74.71,,,12/01/2021
Union,No,839,530,63.17,505,60.19,,,12/01/2021
Vernon,Yes,29359,21927,74.69,20163,68.68,,,12/01/2021
Voluntown,No,2510,1642,65.42,1520,60.56,,,12/01/2021
Wallingford,No,44326,34754,78.41,32000,72.19,,,12/01/2021
Warren,No,1395,1031,73.91,940,67.38,,,12/01/2021
Washington,No,3428,2986,87.11,2608,76.08,,,12/01/2021
Waterbury,Yes,107568,67847,63.07,60453,56.2,,,12/01/2021
Waterford,Yes,18746,15297,81.6,13979,74.57,,,12/01/2021
Watertown,No,21578,16093,74.58,14818,68.67,,,12/01/2021
West Hartford,Yes,62965,55075,87.47,48956,77.75,,,12/01/2021
West Haven,Yes,54620,37892,69.37,34943,63.97,,,12/01/2021
Westbrook,No,6869,5602,81.55,5021,73.1,,,12/01/2021
Weston,No,10252,8828,86.11,7515,73.3,,,12/01/2021
Westport,No,28491,24208,84.97,20459,71.81,,,12/01/2021
Wethersfield,No,26008,21623,83.14,19898,76.51,,,12/01/2021
Willington,No,5864,3782,64.5,3489,59.5,,,12/01/2021
Wilton,No,18343,15802,86.15,13736,74.88,,,12/01/2021
Winchester,Yes,10604,6834,64.45,6293,59.35,,,12/01/2021
Windham,Yes,24561,14899,60.66,13625,55.47,,,12/01/2021
Windsor,No,28733,22505,78.32,20591,71.66,,,12/01/2021
Windsor Locks,Yes,12854,8979,69.85,8205,63.83,,,12/01/2021
Wolcott,No,16587,11660,70.3,10736,64.73,,,12/01/2021
Woodbridge,No,8750,7626,87.15,6783,77.52,,,12/01/2021
Woodbury,No,9502,7177,75.53,6646,69.94,,,12/01/2021
Woodstock,No,7858,5343,67.99,4869,61.96,,,12/01/2021
Address pending validation,,,14658,,12810,,,,12/08/2021
Andover,No,3236,2337,72.22,2182,67.43,,,12/08/2021
Ansonia,Yes,18654,12167,65.22,11208,60.08,,,12/08/2021
Ashford,No,4255,2899,68.13,2694,63.31,,,12/08/2021
Avon,No,18276,16477,90.16,14889,81.47,,,12/08/2021
Barkhamsted,No,3606,2694,74.71,2495,69.19,,,12/08/2021
Beacon Falls,No,6222,4325,69.51,4022,64.64,,,12/08/2021
Berlin,No,20436,15315,74.94,14277,69.86,,,12/08/2021
Bethany,No,5548,4264,76.86,3935,70.93,,,12/08/2021
Bethel,No,19800,14530,73.38,12979,65.55,,,12/08/2021
Bethlehem,No,3402,2336,68.67,2162,63.55,,,12/08/2021
Bloomfield,No,21211,16812,79.26,15276,72.02,,,12/08/2021
Bolton,No,4884,3681,75.37,3403,69.68,,,12/08/2021
Bozrah,No,2726,1748,64.12,1648,60.45,,,12/08/2021
Branford,No,27900,22362,80.15,20519,73.54,,,12/08/2021
Bridgeport,Yes,144399,93248,64.58,82709,57.28,,,12/08/2021
Bridgewater,No,1635,1341,82.02,1216,74.37,,,12/08/2021
Bristol,Yes,59947,43151,71.98,39740,66.29,,,12/08/2021
Brookfield,No,16973,13391,78.9,12126,71.44,,,12/08/2021
Brooklyn,No,8272,5314,64.24,4830,58.39,,,12/08/2021
Burlington,No,9704,7411,76.37,6813,70.21,,,12/08/2021
Canaan,No,1053,1257,100,1114,100,,,12/08/2021
Canterbury,No,5079,3285,64.68,3049,60.03,,,12/08/2021
