Denominación Federación;Localidad;Coordenada X;Coordenada Y;Tipo de Federación;NOMBRE DEL PRESIDENTE;VIGENTE HASTA;WEB ;TW;FB;IN
FEDERACIÓN DEPORTIVA DE COTOPAXI;Cotopaxi;-0.8277384990916219;-7.888.532.829.263.680;Provincial;LÓPEZ GUANOQUIZA SEGUNDO GALO ;18/2/2022;www.fedecotopaxi.org.ec ;https://twitter.com/FedeCotopaxi;https://www.facebook.com/FedeCotopaxi-1675038786055145/;https://instagram.com/fedecotopaxi?utm_medium=copy_link
FEDERACIÓN DEPORTIVA DE TUNGURAHUA;Tungurahua;-13.162.754.312.333.700;-7.852.792.149.037.600;Provincial;JORGE LUIS JARRÍN BERMUDEZ ;27/1/2024;Esta federación no tiene sitio web;Esta Federación no tiene cuenta en Twitter;https://www.facebook.com/FDTungurahua/ ;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DE CHIMBORAZO;Chimborazo;-18.997.958.677.793.200;-7.876.804.937.816.940;Provincial;VINICIO FRANCISCO CHÁVEZ GARCÍA ;8/5/2022;www.fdchimborazo.blogspot.com;Esta Federación no tiene cuenta en Twitter;https://www.facebook.com/fdch2018 ;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DE PASTAZA;Pastaza;-16.475.490.892.729.900;-7.687.626.633.914.110;Provincial;WILLIAN JENARO HEREDIA ORTIZ ;23/5/2025;http://www.fedetu.com/ ;Esta Federación no tiene cuenta en Twitter;https://www.facebook.com/PastazaDeportiva;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DE ESMERALDAS;Esmeraldas;0.6008028264031199;-7.931.105.394.412.100;Provincial;EDWIN PRECIADO HERNÁNDEZ;8/2/2025;www.fedesmeraldas.org.ec ;https://twitter.com/fedesm2016;https://www.facebook.com/Fedesmeraldas2019 ;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DE IMBABURA;Imbabura;0.45545245515496025;-782.928.966.547.833;Provincial;FRETHMAN GOMEZJURADO SUBÍA;4/19/2023;www.fdi.com.ec ;https://twitter.com/Fedeimbabura;https://www.facebook.com/Fedeimbabura-105450496242542;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DEL CARCHI;Carchi;0.7387083181621545;-7.804.330.380.063.930;Provincial;LUIS CHAMORRO PONCE;11/8/2024;Esta federación no tiene sitio web;Esta Federación no tiene cuenta en Twitter;https://www.facebook.com/FEDECARCHI;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DE SUCUMBÍOS;Sucumbíos;0.0031406531275895233;-7.656.376.775.628.710;Provincial;JAVIER FIGUEROA SALAZAR;25/8/2025;Esta federación no tiene sitio web;Esta Federación no tiene cuenta en Twitter;https://www.facebook.com/Fed3sucumbios;Esta Federación no tiene cuenta en Instagram
FEDERACIÓN DEPORTIVA DE EL ORO;El Oro;-35.453.132.066.395.800;-7.985.086.773.919.710;Provincial;RONALD BATALLAS GUAMÁN ;29/6/2022;http://www.fedeoro.org/;https://twitter.com/FEDEORO100;https://www.facebook.com/publicacionfedeoro/;https://www.instagram.com/fedeoro100/
FEDERACIÓN DEPORTIVA DE LOJA;Loja;-4.141.840.146.027.050;-7.977.162.101.398.720;Provincial;JORGE FEIJÓ;26/7/2025;http://www.fedeloja.com/;Esta Federación no tiene cuenta en Twitter;https://www.facebook.com/fedelojaec/;Esta Federación no tiene cuenta en Instagram
